source_scope,source_table,source_row,model_alias,model_id,model_revision,suite_id,task_label,evaluation_id,dedup_key,metric,value,value_unit,embedding_recipe,protocol_variant,reference_url,source_locator,source_revision,source_sha256,inclusion_status,inclusion_reason
official_primary_technical_report,Performance comparison table,OpenMidnight (Ours)/PCam 10 shots,OpenMidnight (Ours),openmidnight,SophontAI/OpenMidnight/teacher_checkpoint_load.pt; immutable HF revision unavailable anonymously,eva,PCam 10 shots,eva.openmidnight_tr2025.cls.patch_camelyon_10shot.test,eva.leaderboard.patch_camelyon_10shot.test,balanced_accuracy,0.79,fraction,CLS token only,OpenMidnight EVA fork; supporting config snapshot 4c3e4a83802010f47dc68bb2d25629f2b6f58eea:eval_configs/pcam_10.yaml sha256:c9f8f04ceb594b9db60cfe30850ce604adf10a9250e3ce22054f29dcbf86425d,https://sophont.med/blog/openmidnight,HTML table id=performance-table|model=OpenMidnight (Ours)|column=PCam (10 shots);support=https://github.com/MedARC-AI/OpenMidnight/blob/4c3e4a83802010f47dc68bb2d25629f2b6f58eea/eval_configs/pcam_10.yaml,SOPHONT-TR-2025-001; published 2025-11-14; modified 2026-06-16,bf31b3c716dd59da9e230e75abd913b4809bd864ff89e38b752bd9b89f4c402b,canonical_candidate,Own-model public EVA task cell with exact CLS-only identity; prior-model rows in the report are deliberately not imported.
official_primary_technical_report,Performance comparison table,OpenMidnight (Ours)/BACH,OpenMidnight (Ours),openmidnight,SophontAI/OpenMidnight/teacher_checkpoint_load.pt; immutable HF revision unavailable anonymously,eva,BACH,eva.openmidnight_tr2025.cls.bach.validation,eva.leaderboard.bach.validation,balanced_accuracy,0.916,fraction,CLS token only,OpenMidnight EVA fork; supporting config snapshot 4c3e4a83802010f47dc68bb2d25629f2b6f58eea:eval_configs/bach.yaml sha256:9c23d1f84374709aac6690c60da4f6bffc114e64b0a03b9aded9b383ab2f148a,https://sophont.med/blog/openmidnight,HTML table id=performance-table|model=OpenMidnight (Ours)|column=BACH;support=https://github.com/MedARC-AI/OpenMidnight/blob/4c3e4a83802010f47dc68bb2d25629f2b6f58eea/eval_configs/bach.yaml,SOPHONT-TR-2025-001; published 2025-11-14; modified 2026-06-16,bf31b3c716dd59da9e230e75abd913b4809bd864ff89e38b752bd9b89f4c402b,canonical_candidate,Own-model public EVA task cell with exact CLS-only identity; prior-model rows in the report are deliberately not imported.
official_primary_technical_report,Performance comparison table,OpenMidnight (Ours)/BRACS,OpenMidnight (Ours),openmidnight,SophontAI/OpenMidnight/teacher_checkpoint_load.pt; immutable HF revision unavailable anonymously,eva,BRACS,eva.openmidnight_tr2025.cls.bracs.validation,eva.leaderboard.bracs.validation,balanced_accuracy,0.661,fraction,CLS token only,OpenMidnight EVA fork; supporting config snapshot 4c3e4a83802010f47dc68bb2d25629f2b6f58eea:eval_configs/bracs.yaml sha256:26afeedca3bc5690d7977613ec3b3a38a5f82159f3602797a3654decfdaabd39,https://sophont.med/blog/openmidnight,HTML table id=performance-table|model=OpenMidnight (Ours)|column=BRACS;support=https://github.com/MedARC-AI/OpenMidnight/blob/4c3e4a83802010f47dc68bb2d25629f2b6f58eea/eval_configs/bracs.yaml,SOPHONT-TR-2025-001; published 2025-11-14; modified 2026-06-16,bf31b3c716dd59da9e230e75abd913b4809bd864ff89e38b752bd9b89f4c402b,canonical_candidate,Own-model public EVA task cell with exact CLS-only identity; prior-model rows in the report are deliberately not imported.
official_primary_technical_report,Performance comparison table,OpenMidnight (Ours)/BreakHis,OpenMidnight (Ours),openmidnight,SophontAI/OpenMidnight/teacher_checkpoint_load.pt; immutable HF revision unavailable anonymously,eva,BreakHis,eva.openmidnight_tr2025.cls.breakhis.validation,eva.leaderboard.breakhis.validation,balanced_accuracy,0.873,fraction,CLS token only,OpenMidnight EVA fork; supporting config snapshot 4c3e4a83802010f47dc68bb2d25629f2b6f58eea:eval_configs/breakhist.yaml sha256:a70b72b1db1c1fd6791186e88a7d060ebc474fb3cbe63671ec9fbb7e5d16cf58,https://sophont.med/blog/openmidnight,HTML table id=performance-table|model=OpenMidnight (Ours)|column=BreakHis;support=https://github.com/MedARC-AI/OpenMidnight/blob/4c3e4a83802010f47dc68bb2d25629f2b6f58eea/eval_configs/breakhist.yaml,SOPHONT-TR-2025-001; published 2025-11-14; modified 2026-06-16,bf31b3c716dd59da9e230e75abd913b4809bd864ff89e38b752bd9b89f4c402b,canonical_candidate,Own-model public EVA task cell with exact CLS-only identity; prior-model rows in the report are deliberately not imported.
official_primary_technical_report,Performance comparison table,OpenMidnight (Ours)/CRC-100K,OpenMidnight (Ours),openmidnight,SophontAI/OpenMidnight/teacher_checkpoint_load.pt; immutable HF revision unavailable anonymously,eva,CRC-100K,eva.openmidnight_tr2025.cls.crc.validation,eva.leaderboard.crc.validation,balanced_accuracy,0.961,fraction,CLS token only,OpenMidnight EVA fork; supporting config snapshot 4c3e4a83802010f47dc68bb2d25629f2b6f58eea:eval_configs/crc.yaml sha256:682ab6b9739142a4720e5930839aa9cfcc9e63c7e923146b01171c109582c582,https://sophont.med/blog/openmidnight,HTML table id=performance-table|model=OpenMidnight (Ours)|column=CRC-100K;support=https://github.com/MedARC-AI/OpenMidnight/blob/4c3e4a83802010f47dc68bb2d25629f2b6f58eea/eval_configs/crc.yaml,SOPHONT-TR-2025-001; published 2025-11-14; modified 2026-06-16,bf31b3c716dd59da9e230e75abd913b4809bd864ff89e38b752bd9b89f4c402b,canonical_candidate,Own-model public EVA task cell with exact CLS-only identity; prior-model rows in the report are deliberately not imported.
official_primary_technical_report,Performance comparison table,OpenMidnight (Ours)/Gleason,OpenMidnight (Ours),openmidnight,SophontAI/OpenMidnight/teacher_checkpoint_load.pt; immutable HF revision unavailable anonymously,eva,Gleason,eva.openmidnight_tr2025.cls.gleason_arvaniti.validation,eva.leaderboard.gleason_arvaniti.validation,balanced_accuracy,0.817,fraction,CLS token only,OpenMidnight EVA fork; supporting config snapshot 4c3e4a83802010f47dc68bb2d25629f2b6f58eea:eval_configs/gleason.yaml sha256:496fe772f56da4891e041b8fbcb43dafcdb22beede8bdc1efb9dc6df84bba501,https://sophont.med/blog/openmidnight,HTML table id=performance-table|model=OpenMidnight (Ours)|column=Gleason;support=https://github.com/MedARC-AI/OpenMidnight/blob/4c3e4a83802010f47dc68bb2d25629f2b6f58eea/eval_configs/gleason.yaml,SOPHONT-TR-2025-001; published 2025-11-14; modified 2026-06-16,bf31b3c716dd59da9e230e75abd913b4809bd864ff89e38b752bd9b89f4c402b,canonical_candidate,Own-model public EVA task cell with exact CLS-only identity; prior-model rows in the report are deliberately not imported.
official_primary_technical_report,Performance comparison table,OpenMidnight (Ours)/MHIST,OpenMidnight (Ours),openmidnight,SophontAI/OpenMidnight/teacher_checkpoint_load.pt; immutable HF revision unavailable anonymously,eva,MHIST,eva.openmidnight_tr2025.cls.mhist.test,eva.leaderboard.mhist.test,balanced_accuracy,0.844,fraction,CLS token only,OpenMidnight EVA fork; supporting config snapshot 4c3e4a83802010f47dc68bb2d25629f2b6f58eea:eval_configs/mhist.yaml sha256:5e0543b818e0275c2439038e400a3481eb44fc501da933ded3c6f6fa16434d73,https://sophont.med/blog/openmidnight,HTML table id=performance-table|model=OpenMidnight (Ours)|column=MHIST;support=https://github.com/MedARC-AI/OpenMidnight/blob/4c3e4a83802010f47dc68bb2d25629f2b6f58eea/eval_configs/mhist.yaml,SOPHONT-TR-2025-001; published 2025-11-14; modified 2026-06-16,bf31b3c716dd59da9e230e75abd913b4809bd864ff89e38b752bd9b89f4c402b,canonical_candidate,Own-model public EVA task cell with exact CLS-only identity; prior-model rows in the report are deliberately not imported.
official_primary_technical_report,Performance comparison table,OpenMidnight (Ours)/PCam,OpenMidnight (Ours),openmidnight,SophontAI/OpenMidnight/teacher_checkpoint_load.pt; immutable HF revision unavailable anonymously,eva,PCam,eva.openmidnight_tr2025.cls.patch_camelyon.test,eva.leaderboard.patch_camelyon.test,balanced_accuracy,0.938,fraction,CLS token only,OpenMidnight EVA fork; supporting config snapshot 4c3e4a83802010f47dc68bb2d25629f2b6f58eea:eval_configs/pcam.yaml sha256:0d9bb57c61d6145634047190543c2f977299343ca249600c550554c2deab2635,https://sophont.med/blog/openmidnight,HTML table id=performance-table|model=OpenMidnight (Ours)|column=PCam;support=https://github.com/MedARC-AI/OpenMidnight/blob/4c3e4a83802010f47dc68bb2d25629f2b6f58eea/eval_configs/pcam.yaml,SOPHONT-TR-2025-001; published 2025-11-14; modified 2026-06-16,bf31b3c716dd59da9e230e75abd913b4809bd864ff89e38b752bd9b89f4c402b,canonical_candidate,Own-model public EVA task cell with exact CLS-only identity; prior-model rows in the report are deliberately not imported.
official_primary_technical_report,Performance comparison table,OpenMidnight (Ours)/Cam16 (small),OpenMidnight (Ours),openmidnight,SophontAI/OpenMidnight/teacher_checkpoint_load.pt; immutable HF revision unavailable anonymously,eva,Cam16 (small),eva.openmidnight_tr2025.cls.camelyon16_small.test,eva.leaderboard.camelyon16_small.test,balanced_accuracy,0.946,fraction,CLS token only,OpenMidnight EVA fork; supporting config snapshot 4c3e4a83802010f47dc68bb2d25629f2b6f58eea:eval_configs/cam16_small.yaml sha256:bb08fd262b973e88f4a77d1f441bea7ca6f6bc21db4a338946cb4aa75e55ba5b,https://sophont.med/blog/openmidnight,HTML table id=performance-table|model=OpenMidnight (Ours)|column=Cam16 (small);support=https://github.com/MedARC-AI/OpenMidnight/blob/4c3e4a83802010f47dc68bb2d25629f2b6f58eea/eval_configs/cam16_small.yaml,SOPHONT-TR-2025-001; published 2025-11-14; modified 2026-06-16,bf31b3c716dd59da9e230e75abd913b4809bd864ff89e38b752bd9b89f4c402b,canonical_candidate,Own-model public EVA task cell with exact CLS-only identity; prior-model rows in the report are deliberately not imported.
official_primary_technical_report,Performance comparison table,OpenMidnight (Ours)/Panda (small),OpenMidnight (Ours),openmidnight,SophontAI/OpenMidnight/teacher_checkpoint_load.pt; immutable HF revision unavailable anonymously,eva,Panda (small),eva.openmidnight_tr2025.cls.panda_small.test,eva.leaderboard.panda_small.test,balanced_accuracy,0.652,fraction,CLS token only,OpenMidnight EVA fork; supporting config snapshot 4c3e4a83802010f47dc68bb2d25629f2b6f58eea:eval_configs/panda_small.yaml sha256:71bcecc6afd182b203aee31fda3d8291b1558dd3144c5c01e7836fcffbedef28,https://sophont.med/blog/openmidnight,HTML table id=performance-table|model=OpenMidnight (Ours)|column=Panda (small);support=https://github.com/MedARC-AI/OpenMidnight/blob/4c3e4a83802010f47dc68bb2d25629f2b6f58eea/eval_configs/panda_small.yaml,SOPHONT-TR-2025-001; published 2025-11-14; modified 2026-06-16,bf31b3c716dd59da9e230e75abd913b4809bd864ff89e38b752bd9b89f4c402b,canonical_candidate,Own-model public EVA task cell with exact CLS-only identity; prior-model rows in the report are deliberately not imported.
